commande, current 
0.0886, 4.42
0.088, 4.431
0.0891, 4.417
0.0892, 4.438
0.0891, 4.44
0.0885, 4.443
0.0891, 4.464
0.0902, 4.452
0.089, 4.464
0.089, 4.49
0.0893, 4.486
0.0894, 4.48
0.0899, 4.501
0.0898, 4.5
0.0903, 4.497
0.0905, 4.519
0.089, 4.531
0.0901, 4.521
0.0902, 4.543
0.0899, 4.548
0.0903, 4.54
0.0913, 4.559
0.0914, 4.555
0.0909, 4.562
0.0919, 4.574
0.0912, 4.583
0.0908, 4.584
0.0916, 4.604
0.0919, 4.596
0.0911, 4.605
0.0913, 4.628
0.0922, 4.62
0.0919, 4.624
0.0933, 4.634
0.093, 4.636
0.092, 4.639
0.0929, 4.659
0.0918, 4.669
0.0934, 4.65
0.0937, 4.673
0.0934, 4.674
0.0924, 4.684
0.093, 4.707
0.0935, 4.702
0.0933, 4.701
0.0939, 4.716
0.0939, 4.713
0.0941, 4.718
0.0946, 4.738
0.0947, 4.733
0.0936, 4.745
0.0946, 4.756
0.0944, 4.759
0.0946, 4.76
0.0943, 4.785
0.095, 4.778
0.0938, 4.79
0.0952, 4.799
0.0952, 4.8
0.096, 4.791
0.0954, 4.817
0.0966, 4.807
0.0963, 4.813
0.0963, 4.834
0.0955, 4.841
0.0959, 4.835
0.0962, 4.86
0.0963, 4.858
0.0957, 4.863
0.0963, 4.881
0.0962, 4.883
0.0969, 4.874
0.0964, 4.901
0.0968, 4.904
0.0972, 4.897
0.0975, 4.917
0.0975, 4.917
0.0968, 4.921
0.0972, 4.945
0.0982, 4.938
0.0977, 4.939
0.0977, 4.962
0.0982, 4.955
0.0976, 4.959
0.0978, 4.984
0.099, 4.973
0.0988, 4.979
0.098, 5.006
0.0979, 5.006
0.0985, 4.999
0.099, 5.02
0.0994, 5.016
0.0993, 5.018
0.0991, 5.041
0.0988, 5.043
0.0989, 5.042
0.0998, 5.06
0.1001, 5.057
0.1001, 5.051
0.1003, 5.076
0.1004, 5.076
0.0998, 5.079
0.0993, 5.109
0.1003, 5.097
0.1002, 5.099
0.1014, 5.114
0.101, 5.113
0.1002, 5.122
0.1005, 5.147
0.1009, 5.139
0.1004, 5.144
0.102, 5.154
0.1008, 5.167
0.1016, 5.157
0.1009, 5.186
0.1012, 5.183
0.1013, 5.18
0.102, 5.199
0.1021, 5.201
0.1021, 5.2
0.1024, 5.221
0.102, 5.223
0.1023, 5.223
0.1028, 5.238
0.1025, 5.239
0.1023, 5.241
0.1034, 5.257
0.1025, 5.267
0.1032, 5.262
0.104, 5.273
0.104, 5.274
0.1036, 5.279
0.1034, 5.304
0.1033, 5.304
0.1037, 5.299
0.1037, 5.321
0.1052, 5.312
0.1043, 5.321
0.1038, 5.344
0.105, 5.334
0.1043, 5.343
0.1049, 5.356
0.1051, 5.356
0.1045, 5.362
0.1053, 5.375
0.1051, 5.382
0.1062, 5.367
0.1056, 5.398
0.1064, 5.389
0.1046, 5.409
0.106, 5.418
0.1066, 5.406
0.1057, 5.417
0.106, 5.441
0.1061, 5.439
0.1056, 5.446
0.1061, 5.462
0.1065, 5.455
0.1064, 5.459
0.1069, 5.477
0.1066, 5.481
0.1074, 5.478
0.1073, 5.498
0.1074, 5.498
0.1065, 5.508
0.1075, 5.518
0.1071, 5.522
0.1078, 5.514
0.1082, 5.537
0.1068, 5.552
0.1073, 5.547
0.108, 5.558
0.1079, 5.562
0.109, 5.553
0.109, 5.578
0.109, 5.578
0.1097, 5.567
0.1087, 5.599
0.1091, 5.6
0.1084, 5.604
0.1087, 5.625
0.1092, 5.622
0.1092, 5.622
0.1097, 5.64
0.1096, 5.645
0.1096, 5.639
0.1095, 5.663
0.1099, 5.662
0.1094, 5.664
0.1103, 5.68
0.1105, 5.677
0.1104, 5.676
0.1112, 5.693
0.1108, 5.699
0.1113, 5.693
0.1108, 5.725
0.1124, 5.706
0.1115, 5.716
0.1117, 5.738
0.1118, 5.738
0.1115, 5.743
0.1121, 5.758
0.1121, 5.755
0.1119, 5.759
0.1124, 5.776
0.1122, 5.784
0.1129, 5.771
0.1132, 5.796
0.1121, 5.802
0.1127, 5.792
0.1132, 5.816
0.113, 5.819
0.1133, 5.817
0.1127, 5.845
0.1134, 5.836
0.1132, 5.839
0.114, 5.854
0.1131, 5.861
0.1133, 5.863
0.1143, 5.876
0.1133, 5.881
0.1132, 5.889
0.1142, 5.901
0.1146, 5.896
0.114, 5.901
0.1139, 5.925
0.1147, 5.918
0.1151, 5.912
0.1151, 5.941
0.1153, 5.94
0.1138, 5.952
0.116, 5.952
0.1153, 5.962
0.1153, 5.962
0.1151, 5.984
0.1167, 5.971
0.1156, 5.98
0.1163, 5.995
0.1154, 6.004
0.1161, 5.998
