commande, current 
0.063, 2.4
0.0631, 2.4
0.0633, 2.398
0.0633, 2.398
0.0633, 2.398
0.0631, 2.402
0.063, 2.403
0.0638, 2.42
0.0641, 2.419
0.0631, 2.426
0.0636, 2.417
0.0638, 2.417
0.0631, 2.426
0.0636, 2.421
0.063, 2.429
0.0641, 2.441
0.0643, 2.44
0.0637, 2.444
0.0633, 2.45
0.0644, 2.437
0.0639, 2.44
0.0639, 2.443
0.0639, 2.445
0.0646, 2.458
0.0638, 2.467
0.0647, 2.458
0.0641, 2.464
0.0644, 2.46
0.0645, 2.459
0.0652, 2.454
0.0649, 2.456
0.0649, 2.456
0.0649, 2.456
0.0643, 2.489
0.0656, 2.475
0.065, 2.479
0.0657, 2.467
0.0647, 2.481
0.0659, 2.469
0.0656, 2.5
0.0648, 2.507
0.0654, 2.501
0.0653, 2.497
0.0655, 2.499
0.0649, 2.501
0.0649, 2.501
0.0648, 2.505
0.066, 2.517
0.0655, 2.523
0.0661, 2.516
0.0664, 2.517
0.0664, 2.517
0.0658, 2.519
0.0665, 2.51
0.0663, 2.513
0.0663, 2.54
0.0662, 2.539
0.0672, 2.527
0.0656, 2.542
0.0667, 2.53
0.0666, 2.536
0.0661, 2.538
0.066, 2.541
0.0662, 2.564
0.0659, 2.567
0.0668, 2.556
0.0664, 2.56
0.0662, 2.562
0.0655, 2.571
0.0664, 2.562
0.0667, 2.557
0.0677, 2.572
0.0677, 2.572
0.0666, 2.582
0.0669, 2.58
0.0672, 2.574
0.0663, 2.585
0.0673, 2.577
0.0672, 2.578
0.0675, 2.598
0.0673, 2.602
0.0665, 2.607
0.0674, 2.599
0.068, 2.597
0.0672, 2.605
0.0676, 2.6
0.068, 2.595
0.0679, 2.619
0.0677, 2.621
0.0679, 2.616
0.068, 2.619
0.0677, 2.622
0.0682, 2.616
0.0679, 2.621
0.068, 2.616
0.068, 2.616
0.0678, 2.645
0.069, 2.633
0.0685, 2.638
0.0693, 2.634
0.0693, 2.634
0.0683, 2.637
0.0675, 2.647
0.0686, 2.656
0.0676, 2.666
0.0689, 2.654
0.0684, 2.665
0.0686, 2.658
0.0685, 2.662
0.0691, 2.657
0.069, 2.657
0.0694, 2.672
0.069, 2.681
0.0693, 2.676
0.0681, 2.686
0.0688, 2.683
0.0694, 2.676
0.0694, 2.676
0.069, 2.682
0.0699, 2.694
0.0689, 2.707
0.0693, 2.699
0.0688, 2.702
0.0697, 2.694
0.0693, 2.701
0.0691, 2.703
0.0693, 2.699
0.0692, 2.722
0.0701, 2.72
0.0696, 2.72
0.0691, 2.727
0.0691, 2.724
0.0701, 2.719
0.0698, 2.721
0.0697, 2.718
0.0703, 2.74
0.0703, 2.74
0.0699, 2.744
0.0707, 2.737
0.0711, 2.732
0.0701, 2.739
0.0701, 2.741
0.0707, 2.733
0.0712, 2.754
0.0708, 2.759
0.0702, 2.767
0.0705, 2.761
0.0707, 2.76
0.0697, 2.77
0.0709, 2.755
0.0713, 2.753
0.0713, 2.774
0.0709, 2.781
0.0707, 2.781
0.0714, 2.775
0.0703, 2.786
0.0706, 2.782
0.0711, 2.779
0.071, 2.779
0.0726, 2.791
0.0717, 2.795
0.0721, 2.799
0.0714, 2.8
0.071, 2.804
0.071, 2.802
0.0718, 2.796
0.0719, 2.792
0.0714, 2.825
0.0715, 2.816
0.0712, 2.826
0.0723, 2.816
0.0722, 2.813
0.0714, 2.824
0.0721, 2.821
0.0725, 2.81
0.0725, 2.835
0.0715, 2.846
0.0731, 2.833
0.0724, 2.84
0.0715, 2.843
0.0731, 2.835
0.0711, 2.853
0.0717, 2.846
0.0725, 2.859
0.0728, 2.855
0.0728, 2.855
0.0725, 2.858
0.0728, 2.858
0.0727, 2.858
0.0729, 2.855
0.0726, 2.859
0.0725, 2.883
0.0724, 2.883
0.0727, 2.883
0.0727, 2.883
0.0727, 2.883
0.0724, 2.885
0.0726, 2.884
0.0727, 2.88
0.0724, 2.91
0.0737, 2.896
0.0738, 2.898
0.0737, 2.9
0.0733, 2.903
0.0735, 2.902
0.0736, 2.897
0.0735, 2.902
0.0733, 2.926
0.0735, 2.922
0.0739, 2.919
0.0742, 2.916
0.0739, 2.921
0.0744, 2.915
0.0739, 2.919
0.0741, 2.917
0.0741, 2.942
0.0744, 2.938
0.0747, 2.939
0.0742, 2.94
0.0749, 2.935
0.0749, 2.935
0.0744, 2.935
0.0743, 2.937
0.0743, 2.968
0.0749, 2.954
0.0754, 2.953
0.075, 2.952
0.0743, 2.961
0.0754, 2.949
0.0747, 2.958
0.0743, 2.962
0.0743, 2.961
0.0746, 2.987
0.0753, 2.978
0.0754, 2.973
0.0745, 2.989
0.075, 2.982
0.0755, 2.976
0.0751, 2.98
0.0756, 3.0
0.0752, 3.004
0.0752, 3.001
0.0758, 2.993
0.0752, 3.003
0.0752, 3.003
0.0751, 3.005
0.0758, 2.993
0.0753, 3.024
0.0759, 3.022
0.0762, 3.014
0.0762, 3.011
0.0758, 3.018
0.0759, 3.016
0.0754, 3.021
0.0751, 3.025
0.0761, 3.037
0.0763, 3.038
0.0754, 3.049
0.0764, 3.04
0.0756, 3.047
0.0759, 3.043
0.0767, 3.033
0.0768, 3.029
0.0777, 3.053
0.0758, 3.068
0.0758, 3.068
0.0767, 3.058
0.0767, 3.058
0.0771, 3.057
0.0766, 3.061
0.0768, 3.059
0.0773, 3.079
0.0768, 3.082
0.0772, 3.077
0.0771, 3.08
0.0767, 3.082
0.0777, 3.072
0.0764, 3.086
0.0767, 3.083
0.0774, 3.098
0.078, 3.096
0.0767, 3.106
0.0774, 3.099
0.0775, 3.101
0.0777, 3.093
0.0778, 3.093
0.0771, 3.102
0.0782, 3.119
0.0785, 3.111
0.0783, 3.116
0.0775, 3.125
0.0769, 3.126
0.0769, 3.127
0.0778, 3.116
0.0773, 3.127
0.0784, 3.14
0.078, 3.144
0.0785, 3.14
0.0784, 3.14
0.078, 3.145
0.0779, 3.144
0.0792, 3.129
0.0779, 3.143
0.0788, 3.155
0.0786, 3.161
0.0794, 3.149
0.079, 3.156
0.0782, 3.165
0.0793, 3.151
0.0783, 3.165
0.0782, 3.163
0.0782, 3.163
0.0784, 3.184
0.079, 3.177
0.0797, 3.17
0.0795, 3.171
0.0783, 3.188
0.0783, 3.188
0.0786, 3.181
0.0792, 3.202
0.0794, 3.2
0.0793, 3.202
0.0794, 3.198
0.0794, 3.198
0.0795, 3.204
0.0788, 3.206
0.0793, 3.201
0.0794, 3.227
0.0793, 3.22
0.0798, 3.222
0.0795, 3.222
0.08, 3.215
0.0801, 3.216
0.0801, 3.217
0.0797, 3.221
0.0802, 3.239
0.0805, 3.233
0.0801, 3.242
0.0807, 3.233
0.0796, 3.248
0.0807, 3.234
0.0806, 3.235
0.0797, 3.246
0.081, 3.258
0.081, 3.258
0.0804, 3.26
0.0812, 3.255
0.0795, 3.27
0.0807, 3.256
0.0811, 3.256
0.0805, 3.259
0.081, 3.28
0.0799, 3.291
0.0815, 3.277
0.0807, 3.287
0.0818, 3.272
0.0816, 3.274
0.081, 3.277
0.0816, 3.27
0.0811, 3.304
0.0817, 3.297
0.0811, 3.304
0.0812, 3.301
0.0811, 3.303
0.0804, 3.308
0.0814, 3.301
0.0822, 3.291
0.0809, 3.329
0.0818, 3.321
0.0818, 3.318
0.0819, 3.319
0.0814, 3.322
0.0815, 3.32
0.0819, 3.318
0.0813, 3.324
0.0822, 3.336
0.082, 3.34
0.082, 3.341
0.082, 3.339
0.0813, 3.349
0.0821, 3.343
0.0826, 3.334
0.082, 3.342
0.0837, 3.351
0.0826, 3.359
0.0826, 3.361
0.0826, 3.361
0.0826, 3.361
0.0826, 3.361
0.0831, 3.356
0.083, 3.358
0.0832, 3.38
0.0834, 3.375
0.0834, 3.375
0.0822, 3.388
0.0834, 3.372
0.0834, 3.374
0.0829, 3.382
0.0829, 3.38
0.0833, 3.402
0.0829, 3.407
0.0828, 3.406
0.0831, 3.399
0.0846, 3.386
0.083, 3.407
0.0832, 3.403
0.0835, 3.396
0.083, 3.429
0.0833, 3.428
0.0839, 3.422
0.0835, 3.421
0.0835, 3.421
0.084, 3.415
0.0834, 3.419
0.0835, 3.42
0.0833, 3.446
0.0838, 3.443
0.0839, 3.438
0.0832, 3.449
0.084, 3.444
0.0845, 3.439
0.0838, 3.443
0.084, 3.439
0.0845, 3.46
0.0845, 3.458
0.0845, 3.458
0.0849, 3.456
0.0844, 3.463
0.0847, 3.459
0.0846, 3.46
0.085, 3.457
0.0852, 3.476
0.0852, 3.477
0.0857, 3.473
0.0849, 3.48
0.0849, 3.479
0.0846, 3.483
0.0851, 3.479
0.0855, 3.477
0.0851, 3.5
0.086, 3.492
0.0851, 3.505
0.0854, 3.501
0.0852, 3.504
0.0852, 3.504
0.0852, 3.502
0.0855, 3.497
0.0856, 3.522
0.0859, 3.518
0.0861, 3.517
0.0861, 3.52
0.085, 3.526
0.0866, 3.514
0.0864, 3.515
0.0854, 3.524
0.0861, 3.542
0.0862, 3.542
0.0865, 3.54
0.0871, 3.532
0.086, 3.541
0.0866, 3.536
0.0858, 3.543
0.0862, 3.539
0.0858, 3.567
0.0869, 3.558
0.0859, 3.564
0.086, 3.564
0.0856, 3.567
0.0863, 3.565
0.0865, 3.559
0.0867, 3.562
0.0867, 3.581
0.0857, 3.59
0.0867, 3.578
0.0867, 3.578
0.0869, 3.58
0.0873, 3.574
0.087, 3.581
0.0867, 3.583
0.0865, 3.606
0.0881, 3.595
0.0867, 3.607
0.0873, 3.603
0.0867, 3.603
0.0867, 3.603
0.0877, 3.598
0.088, 3.593
0.0881, 3.615
0.0877, 3.621
0.0882, 3.616
0.0872, 3.625
0.0879, 3.619
0.0879, 3.619
0.0879, 3.619
0.0878, 3.615
0.0886, 3.638
0.0886, 3.638
0.088, 3.643
0.0882, 3.637
0.0881, 3.644
0.0882, 3.638
0.0891, 3.629
0.088, 3.639
0.089, 3.652
0.0889, 3.653
0.0889, 3.659
0.0877, 3.664
0.0882, 3.662
0.0882, 3.664
0.0885, 3.661
0.0887, 3.659
0.0894, 3.677
0.089, 3.679
0.0891, 3.681
0.0885, 3.682
0.089, 3.68
0.0892, 3.677
0.0888, 3.679
0.0888, 3.682
0.0887, 3.706
0.0892, 3.705
0.0893, 3.699
0.09, 3.696
0.0887, 3.706
0.0882, 3.708
0.0902, 3.691
0.0902, 3.693
0.0895, 3.722
0.0897, 3.718
0.0898, 3.717
0.0892, 3.724
0.0907, 3.71
0.0902, 3.717
0.0898, 3.715
0.0891, 3.726
0.09, 3.741
0.09, 3.737
0.0897, 3.744
0.0898, 3.743
0.0905, 3.732
0.0898, 3.742
0.0905, 3.739
0.0898, 3.743
0.0911, 3.751
0.0907, 3.757
0.0906, 3.758
0.0898, 3.771
0.0908, 3.758
0.0905, 3.76
0.0899, 3.768
0.0899, 3.763
0.092, 3.768
0.0907, 3.782
0.0907, 3.782
0.0902, 3.788
0.0909, 3.778
0.0908, 3.781
0.0908, 3.779
0.0908, 3.78
0.0908, 3.78
0.0912, 3.798
0.092, 3.792
0.0907, 3.804
0.0909, 3.801
0.0914, 3.799
0.0911, 3.798
0.0915, 3.794
0.0913, 3.82
0.0922, 3.811
0.0918, 3.819
0.0918, 3.824
0.0911, 3.823
0.0918, 3.819
0.0918, 3.822
0.0913, 3.823
0.0932, 3.824
0.0923, 3.837
0.0921, 3.84
